Nombre;Query1;Nombre_Archivo;Carpeta
Concepcion;@Muni_Concepcion;Concepcion;Municipios TODOS
Conchali;@MuniConchali;Conchali;Municipios TODOS
Concon;@municoncon;Concon;Municipios TODOS
Constitucion;@IMCONSTITUCION;Constitucion;Municipios TODOS
Contulmo;@MuniContulmo;Contulmo;Municipios TODOS
Copiapo;@copiapomuni;Copiapo;Municipios TODOS
Coquimbo;@municoquimbo;Coquimbo;Municipios TODOS
Coronel;@coronelmuni;Coronel;Municipios TODOS
Corral;@municorral;Corral;Municipios TODOS
Coyhaique;@municoyhaique;Coyhaique;Municipios TODOS
Cunco;@MunideCunco;Cunco;Municipios TODOS
Curacautin;@mcuracautin;Curacautin;Municipios TODOS
Curacavi;@Mcuracavi;Curacavi;Municipios TODOS
Curaco de V�lez;@municipiocuraco;Curaco de V�lez;Municipios TODOS
Curanilahue;@munichue;Curanilahue;Municipios TODOS
Curepto;@municurepto;Curepto;Municipios TODOS
Curico;@Muni_Curico;Curico;Municipios TODOS
Dalcahue;@MuniDalcahue;Dalcahue;Municipios TODOS
El Bosque;@munielbosque;El Bosque;Municipios TODOS
El Carmen;@municipalcarmen;El Carmen;Municipios TODOS
El Monte;@MuniElMonte;El Monte;Municipios TODOS
El Quisco;@ElQuiscoMuni;El Quisco;Municipios TODOS
El Tabo;@Muni_ElTabo;El Tabo;Municipios TODOS
Empedrado;@Empedrado1;Empedrado;Municipios TODOS
Ercilla;@MuniErcilla;Ercilla;Municipios TODOS
Estacion Central;@muniecentral;Estacion Central;Municipios TODOS
Florida;@MuniLaFlorida;Florida;Municipios TODOS
Freire;@Freire_Digital;Freire;Municipios TODOS
Freirina;@FREIRINA1;Freirina;Municipios TODOS
Fresia;@MuniFresia;Fresia;Municipios TODOS
Frutillar;@FrutillarMuni;Frutillar;Municipios TODOS
Futaleufu;@Futaleufu_Chile;Futaleufu;Municipios TODOS
Futrono;@Imunicipalidad;Futrono;Municipios TODOS
Galvarino;@galvarinochile;Galvarino;Municipios TODOS
Gorbea;@MunicipioGorbea;Gorbea;Municipios TODOS
Graneros;@munigros;Graneros;Municipios TODOS
Hijuelas;@HijuelasCL;Hijuelas;Municipios TODOS
Hualaihue;@Muni_Hualaihue;Hualaihue;Municipios TODOS
hualane;@Muni_Hualane;hualane;Municipios TODOS
hualpen;@hualpenciudad;hualpen;Municipios TODOS
Hualqui;@munihualqui;Hualqui;Municipios TODOS
Huara;@IM_HUARA;Huara;Municipios TODOS
Huechuraba;@mun_huechuraba;Huechuraba;Municipios TODOS
Illapel;@MUNI_ILLAPEL;Illapel;Municipios TODOS
Independencia;@Muni_Indep;Independencia;Municipios TODOS
Iquique;@IquiqueDeTodos;Iquique;Municipios TODOS
Isla de Maipo;@MuniIsladeMaipo;Isla de Maipo;Municipios TODOS
Isla de Pascua;@Muni_Rapanui;Isla de Pascua;Municipios TODOS
Juan Fernandez;@ComunicJF;Juan Fernandez;Municipios TODOS
La Calera;@MuniCalera;La Calera;Municipios TODOS
La Cisterna;@Muni_LaCisterna;La Cisterna;Municipios TODOS
La Cruz;@munistacruz;La Cruz;Municipios TODOS
La Estrella;@MLaEstrella;La Estrella;Municipios TODOS
La Florida;@MuniLaFlorida;La Florida;Municipios TODOS
La Granja;@Muni_LaGranja;La Granja;Municipios TODOS
La Higuera;@LaHigueraMuni;La Higuera;Municipios TODOS
La Ligua;@laliguacl;La Ligua;Municipios TODOS
La Pintana;@MuniLaPintana;La Pintana;Municipios TODOS
La Reina;@MuniLaReina;La Reina;Municipios TODOS
La Serena;@munilaserena;La Serena;Municipios TODOS
La Union;@munilaunion;La Union;Municipios TODOS
Lago Ranco;@Muni_LagoRanco;Lago Ranco;Municipios TODOS
Lago Verde;@LagoVerdeAysen;Lago Verde;Municipios TODOS
Laja;@Munilaja;Laja;Municipios TODOS
Lampa;@LampaCL;Lampa;Municipios TODOS
Lanco;@MunicipioLanco;Lanco;Municipios TODOS
Las Cabras;@munilascabras;Las Cabras;Municipios TODOS
Las Condes;@Muni_LasCondes;Las Condes;Municipios TODOS
Lautaro;@MuniLautaro;Lautaro;Municipios TODOS
Lebu;@muniLebu;Lebu;Municipios TODOS
Licanten;@MuniLicanten;Licanten;Municipios TODOS
Limache;@MunLimache;Limache;Municipios TODOS
Linares;@AlcaldiaLiNar;Linares;Municipios TODOS
Litueche;@MuniLitueche;Litueche;Municipios TODOS
Llaillay;@MUNILLAY_LLAY;Llaillay;Municipios TODOS
Llanquihue;@LlanquihueCL;Llanquihue;Municipios TODOS
Lo Barnechea;@lo_barnechea;Lo Barnechea;Municipios TODOS
Lo Espejo;@muniloespejo;Lo Espejo;Municipios TODOS
Lo Prado;@MuniLoPrado;Lo Prado;Municipios TODOS
Loncoche;@Muniloncoche1;Loncoche;Municipios TODOS
Longavi;@mlongavi;Longavi;Municipios TODOS
Lonquimay;@MuniLonquimay;Lonquimay;Municipios TODOS
Los alamos;@MuniLosAlamos;Los alamos;Municipios TODOS
Los Andes;@munidelosandes;Los Andes;Municipios TODOS
Los angeles;@munilosangeles;Los angeles;Municipios TODOS
Los Lagos;@ComunaLosLagos;Los Lagos;Municipios TODOS
Los Sauces;@de_sauces;Los Sauces;Municipios TODOS
Los Vilos;@MunicipLosVilos;Los Vilos;Municipios TODOS
Lota;@munidelota;Lota;Municipios TODOS
Lumaco;@Muni_Lumaco;Lumaco;Municipios TODOS
Machali;@MuniMachali;Machali;Municipios TODOS
Macul;@MuniMacul;Macul;Municipios TODOS
Mafil;@munidemafil;Mafil;Municipios TODOS
Maipu;@maipu_chile;Maipu;Municipios TODOS
Marchihue;@MarchigueVI;Marchihue;Municipios TODOS
Maria Elena;@Muni_MariaElena;Maria Elena;Municipios TODOS
Maule;@munimaule;Maule;Municipios TODOS
maullin;@MuniMaullin;maullin;Municipios TODOS
Mejillones;@mimejillones;Mejillones;Municipios TODOS
Melipeuco;@Munimelipeuco;Melipeuco;Municipios TODOS
Melipilla;@munimelipilla;Melipilla;Municipios TODOS
Molina;@IMuniMolina;Molina;Municipios TODOS
Monte Patria;@MUNIMPATRIA;Monte Patria;Municipios TODOS
Mostazal;@MuniMostazal;Mostazal;Municipios TODOS
mulchen;@munimulchen;mulchen;Municipios TODOS
Nacimiento;@muninacto;Nacimiento;Municipios TODOS
Nancagua;@Mnancagua;Nancagua;Municipios TODOS
Natales;@puerto_natales;Natales;Municipios TODOS
Negrete;@Muninegrete;Negrete;Municipios TODOS
Ninhue;@munininhue;Ninhue;Municipios TODOS
Nogales;@muninogales;Nogales;Municipios TODOS
Nueva Imperial;@NuevaImperial;Nueva Imperial;Municipios TODOS
niquen;@imniquen;niquen;Municipios TODOS
nunoa;@MuniNunoa;nunoa;Municipios TODOS
Olivar;@muni_olivar;Olivar;Municipios TODOS
olmue;@OlmueComunica;olmue;Municipios TODOS
Osorno;@muni_osorno;Osorno;Municipios TODOS
Ovalle;@muniovalle;Ovalle;Municipios TODOS
Padre Hurtado;@mph_chile;Padre Hurtado;Municipios TODOS
Padre Las Casas;@_padrelascasas;Padre Las Casas;Municipios TODOS
Paihuano;@MuniPaihuano;Paihuano;Municipios TODOS
Paillaco;@munipaillaco;Paillaco;Municipios TODOS
Paine;@painepurochile;Paine;Municipios TODOS
Palena;@munipalena;Palena;Municipios TODOS
Palmilla;@munipalmilla1;Palmilla;Municipios TODOS
Panguipulli;@MuniPangui;Panguipulli;Municipios TODOS
Panquehue;@munipanquehue;Panquehue;Municipios TODOS
Papudo;@MuniPapudo;Papudo;Municipios TODOS
Paredones;@ComunaParedones;Paredones;Municipios TODOS
Parral;@ParralMunicipio;Parral;Municipios TODOS
Pedro Aguirre Cerda;@MunicipioPAC;Pedro Aguirre Cerda;Municipios TODOS
Pelarco;@munipelarco;Pelarco;Municipios TODOS
Pelluhue;@munipelluhue;Pelluhue;Municipios TODOS
Pemuco;@MuniPemuco;Pemuco;Municipios TODOS
Pencahue;@MuniPencahue;Pencahue;Municipios TODOS
Penco;@pencomunicipal;Penco;Municipios TODOS
penaflor;@MuniPenaflor;penaflor;Municipios TODOS
penalolen;@penalolen;penalolen;Municipios TODOS
Peralillo;@muniperalillo;Peralillo;Municipios TODOS
Perquenco;@MuniPerquenco;Perquenco;Municipios TODOS
Petorca;@Muni_Petorca;Petorca;Municipios TODOS
Peumo;@M_Peumo;Peumo;Municipios TODOS
Pica;@MunicipioPica;Pica;Municipios TODOS
Pichidegua;@MuniPichidegua;Pichidegua;Municipios TODOS
Pichilemu;@MuniPichilemu;Pichilemu;Municipios TODOS
Pinto;@munipinto;Pinto;Municipios TODOS
Pirque;@Mpirque;Pirque;Municipios TODOS
Placilla;@DelegPlacilla;Placilla;Municipios TODOS
Porvenir;@MuniPorvenir;Porvenir;Municipios TODOS
Pozo Almonte;@IMPozoAlmonte;Pozo Almonte;Municipios TODOS
Primavera;@muniprimavera;Primavera;Municipios TODOS
Providencia;@Muni_provi;Providencia;Municipios TODOS
Puchuncavi;@PuchuncaviMuni;Puchuncavi;Municipios TODOS
Pucon;@MuniPucon;Pucon;Municipios TODOS
Pudahuel;@IMPudahuel;Pudahuel;Municipios TODOS
Puente Alto;@mpuentealto;Puente Alto;Municipios TODOS
Puerto Montt;@munipuertomontt;Puerto Montt;Municipios TODOS
Puerto Octay;@MuniPuertoctay;Puerto Octay;Municipios TODOS
Puerto Varas;@muniptovaras;Puerto Varas;Municipios TODOS
Pumanque;@PumanqueOficial;Pumanque;Municipios TODOS
Punitaqui;@MuniPunitaqui1;Punitaqui;Municipios TODOS
Punta Arenas;@munipuq;Punta Arenas;Municipios TODOS
Puqueldon;@MuniPuqueldon;Puqueldon;Municipios TODOS
puren;@MuniPuren;puren;Municipios TODOS
Purranque;@Purranque_;Purranque;Municipios TODOS
Putaendo;@MuniPutaendo;Putaendo;Municipios TODOS
Putre;@im_putre;Putre;Municipios TODOS
Puyehue;@MuniPuyehue;Puyehue;Municipios TODOS
quilen;@muniqueilen;quilen;Municipios TODOS
quellon;@MuniQuellon;quellon;Municipios TODOS
Quemchi;@MuniQuemchi;Quemchi;Municipios TODOS
Quilicura;@muniquilicura;Quilicura;Municipios TODOS
Quilleco;@MuniQuilleco;Quilleco;Municipios TODOS
quillon;@muni_quillon;quillon;Municipios TODOS
Quillota;@muniquillota;Quillota;Municipios TODOS
quilpue;@quilpueciudad;quilpue;Municipios TODOS
Quinchao;@Mquinchao;Quinchao;Municipios TODOS
Quinta de Tilcoco;@MuniQta;Quinta de Tilcoco;Municipios TODOS
Quinta Normal;@munquintanormal;Quinta Normal;Municipios TODOS
Quintero;@muniquintero;Quintero;Municipios TODOS
Rancagua;@munirancagua;Rancagua;Municipios TODOS
Rauco;@Raucoavanza;Rauco;Municipios TODOS
Recoleta;@Muni_Recoleta;Recoleta;Municipios TODOS
Renaico;@muni_renaico;Renaico;Municipios TODOS
Renca;@Muni_Renca;Renca;Municipios TODOS
Rengo;@MuniRengo;Rengo;Municipios TODOS
requinoa;@Requinoa2014;requinoa;Municipios TODOS
rio bueno;@muniriobueno;rio bueno;Municipios TODOS
rioclaro;@MuniRioClaro;rioclaro;Municipios TODOS
riohurtado;@muniriohurtado;riohurtado;Municipios TODOS
rioibanez;@Muni_RioIbanez;rioibanez;Municipios TODOS
rionegro;@munirionegro;rionegro;Municipios TODOS
rioverde;@rioverdeoficial;rioverde;Municipios TODOS
Romeral;@MuniRomeral;Romeral;Municipios TODOS
Sagrada Familia;@msagradafamilia;Sagrada Familia;Municipios TODOS
Salamanca;@MuniSalamanca;Salamanca;Municipios TODOS
San Antonio;@imsanantoniocl;San Antonio;Municipios TODOS
San Bernardo;@SanBernardocl;San Bernardo;Municipios TODOS
San Clemente;@imsanclemente;San Clemente;Municipios TODOS
San Esteban;@munisanesteban;San Esteban;Municipios TODOS
sanfabian;@SanFabian_;sanfabian;Municipios TODOS
San Felipe;@munisanfelipe;San Felipe;Municipios TODOS
San Fernando;@MunSanFernando;San Fernando;Municipios TODOS
San Ignacio;@muni_sanignacio;San Ignacio;Municipios TODOS
San Javier;@muni_javier;San Javier;Municipios TODOS
sanjoaquin;@munisanjoaquin;sanjoaquin;Municipios TODOS
San Josede Maipo;@SnJuandelaCosta;San Josede Maipo;Municipios TODOS
San Juan de la Costa;@SnJuandelaCosta;San Juan de la Costa;Municipios TODOS
San Miguel;@Muni_San_Miguel;San Miguel;Municipios TODOS
san nicolas;@GobSanNicolas;san nicolas;Municipios TODOS
San Pablo;@IMuniSanPablo;San Pablo;Municipios TODOS
San Pedro de Atacama;@DeSanPedroAtacm;San Pedro de Atacama;Municipios TODOS
San Pedro de la Paz;@SanPedroPaz;San Pedro de la Paz;Municipios TODOS
San Rafael;@MuniSanRafael1;San Rafael;Municipios TODOS
sanramon;@Muni_SanRamon;sanramon;Municipios TODOS
San Rosendo;@MuniSanRosendo;San Rosendo;Municipios TODOS
San Vicente;@MunicSanVicente;San Vicente;Municipios TODOS
santabarbara;@Muni_SB_1601;santabarbara;Municipios TODOS
Santa Cruz;@munistacruz;Santa Cruz;Municipios TODOS
Santa Juana;@MuniSantaJuana;Santa Juana;Municipios TODOS
santamaria;@imsantamaria;santamaria;Municipios TODOS
Santiago;@Muni_Stgo;Santiago;Municipios TODOS
Santo Domingo;@santodomingocl;Santo Domingo;Municipios TODOS
Sierra Gorda;@muni_sgorda;Sierra Gorda;Municipios TODOS
Talagante;@MuniTalagante;Talagante;Municipios TODOS
Talca;@IMTalca;Talca;Municipios TODOS
Talcahuano;@munitalcahuano;Talcahuano;Municipios TODOS
Temuco;@municipiotemuco;Temuco;Municipios TODOS
Teno;@MunicipioTeno;Teno;Municipios TODOS
Teodoro Schmidt;@muniteodoro;Teodoro Schmidt;Municipios TODOS
Tierra Amarilla;@tierraamarilla1;Tierra Amarilla;Municipios TODOS
Timaukel;@Comunatimaukel;Timaukel;Municipios TODOS
tirua;@MuniTirua;tirua;Municipios TODOS
Tocopilla;@Muni_Tocopilla;Tocopilla;Municipios TODOS
tome;@munitome;tome;Municipios TODOS
Tortel;@munitortel;Tortel;Municipios TODOS
traiguen;@mtraiguen;traiguen;Municipios TODOS
Valdivia;@munivaldivia;Valdivia;Municipios TODOS
Vallenar;@MuniVallenar;Vallenar;Municipios TODOS
valparaiso;@MunicipioValpo;valparaiso;Municipios TODOS
vichuquen;@munivichuquen;vichuquen;Municipios TODOS
Victoria;@munivictoria;Victoria;Municipios TODOS
vicuna;@MuniVicuna;vicuna;Municipios TODOS
vilcun;@VilcunMuni;vilcun;Municipios TODOS
Villa Alegre;@munivillalegre;Villa Alegre;Municipios TODOS
Villa Alemana;@Munivillalemana;Villa Alemana;Municipios TODOS
Villarrica;@VillarricaMuni;Villarrica;Municipios TODOS
vinadelmar;@vinadelmar;vinadelmar;Municipios TODOS
Vitacura;@MuniVitacura;Vitacura;Municipios TODOS
Yerbas Buenas;@muniyerbasb;Yerbas Buenas;Municipios TODOS
Yumbel;@Muni_Yumbel;Yumbel;Municipios TODOS
Zapallar;@MuniZapallar;Zapallar;Municipios TODOS
Consuelo Valdes Chadwick;@Consuelovaldesc;consuelovaldes;Ministros
Carolina schmidt;@CarolaSchmidtZ;carolinaschmidt;Ministros
Isabel Pla Jarufe;@isabelpla;IsabelPla;Ministros
Marcela Cubillos Sigall;@mcubillossigall;MarcelaCubillos;Ministros
manalich;@jmanalich;manalich;Ministros
sichel;@sebastiansichel;sichel;Ministros
jobet;@jcjobet;jobet;Ministros
ribera;@TeodoroRiberaN;ribera;Ministros
Felipe Ward Edwards;@Felipeward;FelipeWard;Ministros
Gloria Hutt Hesse;@GloriaHutt;GloriaHutt;Ministros
Baldo Prokurica Prokurica;@bprokurica;BaldoProkurica;Ministros
Antonio Walker Prieto;@antoniowalkerp;AntonioWalker;Ministros
Cristian Monckeberg Bruner;@cmonckeberg;CristianMonckeberg;Ministros
Emilio Santelices Cuevas;@ESantelicesC;EmilioSantelices;Ministros
Juan Andres Fontaine Talavera;@jafontaine;JuanAndres;Ministros
Hernan Larrain Fernandez;@HernanLarrainF;HernanLarrain;Ministros
Alfredo Moreno Charme;@amorenocharme;AlfredoMoreno;Ministros
Cecilia Perez Jara;@ceciperez1;CeciliaPerez;Ministros
Gonzalo Blumel Mac-Iver;@GBlumel;GonzaloBlumel;Ministros
Felipe Larrain Bascunan;@felipelarrain;FelipeLarrain;Ministros
Alberto Espina Otero;@albertoespina;AlbertoEspina;Ministros
julio isamit;@jisamit;julio isamit;Ministros
maria jose zaldivar;@mjose_zaldivar;mariajose Zaldivar;Ministros
ignacio briones;@ignaciobriones_;ignacio briones;Ministros
Karla Rubilar;@KarlaEnAccion;KarlaRubilar;Ministros
Lucas Palacios;@LucasPalaciosC;lucaspalacios;Ministros
Agricultura;@MinagriCL;MinisterioAgricultura;Ministerios
Bienes Nacionales;@MinisterioBBNN;MinisterioBienesNacionales;Ministerios
Cultura y las Artes;@culturas_cl;MinisterioCultura;Ministerios
Defensa Nacional;@mindefchile;MinisterioDefensa;Ministerios
Deporte;@MindepChile;MinisterioDeporte;Ministerios
Desarrollo Social;@MinDesarrollo;MinisterioDesarrSocial;Ministerios
Economia Fomento y Turismo;@meconomia;MinisterioEconomia;Ministerios
Educacion;@Mineduc;MinisterioEducacion;Ministerios
Energia;@MinEnergia;MinisterioEnergia;Ministerios
Hacienda;@Min_Hacienda;MinisterioHacienda;Ministerios
Interior y Seguridad Publica;@min_interior;MinisterioInterior;Ministerios
Justicia y Derechos Humanos;@MinjuDDHH;MinisterioJusticia;Ministerios
Medio Ambiente;@MMAChile;MMAmbiente;Ministerios
Mineria;@MinMineria_cl;MinisterioMineria;Ministerios
Mujer y la Equidad de Genero;@MinMujeryEG;MinisterioMujer;Ministerios
Obras Publicas;@mop_chile;MinisterioObrasPublicas;Ministerios
Relaciones Exteriores;@Minrel_Chile;MinisterioRelExteriores;Ministerios
Salud;@ministeriosalud;MinisterioSalud;Ministerios
Secretariaa General de Gobierno;@segegob;MinisterioSecGralGobierno;Ministerios
Secretaria General de la Presidencia;@Segpres;MinisterioSecGralPResidencia;Ministerios
Trabajo y Prevision Social;@MintrabChile;MinisterioTrabajo;Ministerios
Transportes y Telecomunicaciones;@MTTChile;MinisterioTransportes;Ministerios
Vivienda y Urbanismo;@Minvu;MinisterioVivienda;Ministerios
GobiernoMX;@GobiernoMX;GobiernoMX;Mexico
A_Encinas_R;@A_Encinas_R;A_Encinas_R;Mexico
aguilarcamin ;@aguilarcamin ;aguilarcamin ;Mexico
Ale_BarralesM ;@Ale_BarralesM ;Ale_BarralesM ;Mexico
aristeguicnn;@aristeguicnn;aristeguicnn;Mexico
aurelionuno ;@aurelionuno ;aurelionuno ;Mexico
BPR2012;@BPR2012;BPR2012;Mexico
CarlosGortari_ ;@CarlosGortari_ ;CarlosGortari_ ;Mexico
CiroGomezL ;@CiroGomezL ;CiroGomezL ;Mexico
CocoaCalderon;@CocoaCalderon;CocoaCalderon;Mexico
CTMedoMex;@CTMedoMex;CTMedoMex;Mexico
DanteDelgado;@DanteDelgado;DanteDelgado;Mexico
DavidMonrealA;@DavidMonrealA;DavidMonrealA;Mexico
delfinagomeza;@delfinagomeza;delfinagomeza;Mexico
DeniseMaerker ;@DeniseMaerker ;DeniseMaerker ;Mexico
DivaGastelum;@DivaGastelum;DivaGastelum;Mexico
Dolores_PL;@Dolores_PL;Dolores_PL;Mexico
ElbaEsterOnLine ;@ElbaEsterOnLine ;ElbaEsterOnLine ;Mexico
Emilio_Gamboa_;@Emilio_Gamboa_;Emilio_Gamboa_;Mexico
